nohup: ignoring input
Parameter Count: 42600909
Training with 293737 image pairs
/home/zexin/anaconda3/envs/raft/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:123: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
[   100,  0.0000056]     0.8169,     0.8976,     0.9185,     4.0293, 
[   200,  0.0000072]     0.8262,     0.9090,     0.9325,     3.0878, 
[   300,  0.0000088]     0.8266,     0.9145,     0.9373,     2.4804, 
[   400,  0.0000104]     0.8306,     0.9104,     0.9320,     2.9123, 
[   500,  0.0000120]     0.8199,     0.9046,     0.9270,     3.8658, 
[   600,  0.0000136]     0.8267,     0.9062,     0.9279,     3.3850, 
[   700,  0.0000152]     0.8156,     0.8986,     0.9219,     3.4194, 
[   800,  0.0000168]     0.8213,     0.9036,     0.9245,     4.1003, 
[   900,  0.0000184]     0.8312,     0.9104,     0.9309,     3.5000, 
[  1000,  0.0000200]     0.8550,     0.9302,     0.9481,     2.4444, 
[  1100,  0.0000216]     0.8240,     0.9045,     0.9263,     3.7921, 
[  1200,  0.0000232]     0.8287,     0.9103,     0.9318,     3.2205, 
[  1300,  0.0000248]     0.8399,     0.9184,     0.9383,     3.3536, 
[  1400,  0.0000264]     0.8319,     0.9112,     0.9319,     3.7372, 
[  1500,  0.0000280]     0.8331,     0.9148,     0.9378,     2.8254, 
[  1600,  0.0000296]     0.8329,     0.9112,     0.9326,     3.1052, 
[  1700,  0.0000312]     0.8224,     0.9084,     0.9307,     3.1190, 
[  1800,  0.0000328]     0.8272,     0.9093,     0.9306,     3.8880, 
[  1900,  0.0000344]     0.8373,     0.9197,     0.9419,     2.9453, 
[  2000,  0.0000360]     0.8441,     0.9228,     0.9431,     2.4093, 
[  2100,  0.0000376]     0.8377,     0.9179,     0.9386,     3.3122, 
[  2200,  0.0000392]     0.8320,     0.9135,     0.9335,     3.9705, 
[  2300,  0.0000408]     0.8375,     0.9170,     0.9371,     3.1235, 
[  2400,  0.0000424]     0.8246,     0.9089,     0.9306,     3.4951, 
[  2500,  0.0000440]     0.8353,     0.9127,     0.9335,     3.4058, 
[  2600,  0.0000456]     0.8084,     0.8959,     0.9190,     4.6075, 
[  2700,  0.0000472]     0.8169,     0.9027,     0.9275,     3.1204, 
[  2800,  0.0000488]     0.8469,     0.9195,     0.9369,     3.0183, 
[  2900,  0.0000504]     0.8279,     0.9149,     0.9373,     2.6653, 
[  3000,  0.0000520]     0.8331,     0.9123,     0.9320,     3.5327, 
[  3100,  0.0000536]     0.8327,     0.9158,     0.9371,     2.9421, 
[  3200,  0.0000551]     0.8388,     0.9179,     0.9384,     2.8035, 
[  3300,  0.0000567]     0.8404,     0.9199,     0.9396,     2.7292, 
[  3400,  0.0000583]     0.8359,     0.9123,     0.9326,     3.8100, 
[  3500,  0.0000599]     0.8392,     0.9173,     0.9387,     2.7175, 
[  3600,  0.0000615]     0.8214,     0.9019,     0.9243,     3.9063, 
[  3700,  0.0000631]     0.8298,     0.9149,     0.9373,     2.5963, 
